id,timestamp,stock,area
AT-92001-18613/4,2017-01-01,593.5,30697
AT-92001-18739/1,2017-01-01,395.3,30625
AT-92001-18287/1,2017-01-01,782.0,30417
AT-92001-15482,2017-01-01,710.8,30410
AT-92001-18776,2017-01-01,857.5,30383
AT-92001-17093/1,2017-01-01,1008.1,30373
AT-92001-18742,2017-01-01,281.6,30371
AT-92001-15490,2017-01-01,597.7,30326
AT-92001-13735,2017-01-01,469.9,30054
AT-92001-19210,2017-01-01,376.0,29879
AT-92001-12973,2017-01-01,687.8,29759
AT-92001-18631/1,2017-01-01,617.9,29731
AT-92001-18629,2017-01-01,765.4,29579
AT-92001-19149,2017-01-01,647.5,29572
AT-92001-11749,2017-01-01,556.7,29474
AT-92001-11681,2017-01-01,721.9,29425
AT-92001-15470,2017-01-01,609.5,29399
AT-92001-13209,2017-01-01,554.1,29331
AT-92001-13183/1,2017-01-01,391.9,29068
AT-92001-15441,2017-01-01,553.7,29009
AT-92001-12686/1,2017-01-01,373.6,28896
AT-92001-12983,2017-01-01,535.5,28688
AT-92001-12884/1,2017-01-01,589.9,28585
AT-92001-14010/1,2017-01-01,696.4,28238
AT-92001-15495,2017-01-01,600.8,28201
AT-92001-1159/2,2017-01-01,490.4,28167
AT-92001-13541,2017-01-01,603.2,28115
AT-92001-15501,2017-01-01,466.8,28097
AT-92001-17718/3,2017-01-01,537.6,27951
AT-92001-17676,2017-01-01,746.6,27818
AT-92001-20386/1,2017-01-01,309.2,27653
AT-92001-17272/4,2017-01-01,482.4,27511
AT-92001-19153/3,2017-01-01,392.8,27371
AT-92001-13794,2017-01-01,659.1,27241
AT-92001-13206/1,2017-01-01,462.7,26986
AT-92001-10279,2017-01-01,296.5,26785
AT-92001-19016/6,2017-01-01,338.8,26777
AT-92001-13068,2017-01-01,388.7,26768
AT-92001-17461,2017-01-01,468.4,26663
AT-92001-15608/6,2017-01-01,356.4,26656
AT-92001-18438,2017-01-01,554.5,26520
AT-92001-14950,2017-01-01,378.2,26483
AT-92001-19047,2017-01-01,521.7,26459
AT-92001-19031,2017-01-01,275.0,26162
AT-92001-18726,2017-01-01,510.5,25930
AT-92001-15502,2017-01-01,633.0,25894
AT-92001-19136,2017-01-01,564.5,25640
AT-92001-19072,2017-01-01,493.5,25456
AT-92001-11682/1,2017-01-01,903.5,25371
AT-92001-19040,2017-01-01,419.5,25370
AT-92001-18350,2017-01-01,579.4,25357
AT-92001-18443,2017-01-01,562.1,25255
AT-92001-19249,2017-01-01,334.0,25054
AT-92001-18815,2017-01-01,304.7,24920
AT-92001-11666/1,2017-01-01,759.6,24879
AT-92001-18930,2017-01-01,523.3,24781
AT-92001-20004/1,2017-01-01,233.7,24712
AT-92001-19178,2017-01-01,560.2,24704
AT-92001-17270/2,2017-01-01,601.9,24683
AT-92001-18796/4,2017-01-01,581.2,24653
AT-92001-20189,2017-01-01,635.7,24641
AT-92001-17282,2017-01-01,795.0,24597
AT-92001-19128,2017-01-01,657.4,24593
AT-92001-1177/1,2017-01-01,428.2,24416
AT-92001-18407,2017-01-01,775.5,24347
AT-92001-18736,2017-01-01,815.2,24322
AT-92001-2802/9,2017-01-01,297.8,24272
AT-92001-17591/1,2017-01-01,876.1,24262
AT-92001-17501,2017-01-01,685.0,24155
AT-92001-13642,2017-01-01,154.5,24126
AT-92001-8037,2017-01-01,923.8,24075
AT-92001-17670,2017-01-01,446.5,24028
AT-92001-18439,2017-01-01,441.9,23996
AT-92001-4969,2017-01-01,129.8,23952
AT-92001-3514,2017-01-01,0.0,23925
AT-92001-13250,2017-01-01,417.2,23911
AT-92001-18692,2017-01-01,408.6,23829
AT-92001-16802,2017-01-01,903.8,23688
AT-92001-12987,2017-01-01,531.6,23561
AT-92001-18627,2017-01-01,449.1,23540
AT-92001-18634,2017-01-01,508.2,23531
AT-92001-13413,2017-01-01,600.4,23519
AT-92001-17659,2017-01-01,144.2,23478
